id,label,parent,value
"Chordata_MAMMALIA_RODENTIA_Myoxidae_Driomio_Dryomis nitedula (Pallas, 1779)","Dryomis nitedula (Pallas, 1779)",Chordata_MAMMALIA_RODENTIA_Myoxidae_Driomio,3
Chordata_MAMMALIA_RODENTIA_Myoxidae_Ghiro,Ghiro,Chordata_MAMMALIA_RODENTIA_Myoxidae,2
"Chordata_MAMMALIA_RODENTIA_Myoxidae_Ghiro_Myoxus glis (Linnaeus, 1766)  ","Myoxus glis (Linnaeus, 1766)  ",Chordata_MAMMALIA_RODENTIA_Myoxidae_Ghiro,2
Chordata_MAMMALIA_RODENTIA_Myoxidae_Moscardino,Moscardino,Chordata_MAMMALIA_RODENTIA_Myoxidae,3
"Chordata_MAMMALIA_RODENTIA_Myoxidae_Moscardino_Muscardinus avellanarius (Linnaeus, 1758) ","Muscardinus avellanarius (Linnaeus, 1758) ",Chordata_MAMMALIA_RODENTIA_Myoxidae_Moscardino,3
Chordata_MAMMALIA_RODENTIA_Myoxidae_Non precisato,Non precisato,Chordata_MAMMALIA_RODENTIA_Myoxidae,6
Chordata_MAMMALIA_RODENTIA_Myoxidae_Non precisato_Eliomys quercinus liparensis,Eliomys quercinus liparensis,Chordata_MAMMALIA_RODENTIA_Myoxidae_Non precisato,3
Chordata_MAMMALIA_RODENTIA_Myoxidae_Non precisato_Eliomys quercinus sardus,Eliomys quercinus sardus,Chordata_MAMMALIA_RODENTIA_Myoxidae_Non precisato,3
Chordata_MAMMALIA_RODENTIA_Myoxidae_Quercino,Quercino,Chordata_MAMMALIA_RODENTIA_Myoxidae,2
"Chordata_MAMMALIA_RODENTIA_Myoxidae_Quercino_Eliomys quercinus (Linnaeus, 1766) ","Eliomys quercinus (Linnaeus, 1766) ",Chordata_MAMMALIA_RODENTIA_Myoxidae_Quercino,2
Chordata_MAMMALIA_RODENTIA_Sciuridae,Sciuridae,Chordata_MAMMALIA_RODENTIA,6
Chordata_MAMMALIA_RODENTIA_Sciuridae_Marmotta,Marmotta,Chordata_MAMMALIA_RODENTIA_Sciuridae,3
"Chordata_MAMMALIA_RODENTIA_Sciuridae_Marmotta_Marmota marmota (Linnaeus, 1758) ","Marmota marmota (Linnaeus, 1758) ",Chordata_MAMMALIA_RODENTIA_Sciuridae_Marmotta,3
Chordata_MAMMALIA_RODENTIA_Sciuridae_Scoiattolo,Scoiattolo,Chordata_MAMMALIA_RODENTIA_Sciuridae,2
"Chordata_MAMMALIA_RODENTIA_Sciuridae_Scoiattolo_Sciurus vulgaris Linnaeus, 1758","Sciurus vulgaris Linnaeus, 1758",Chordata_MAMMALIA_RODENTIA_Sciuridae_Scoiattolo,2
Chordata_MAMMALIA_RODENTIA_Sciuridae_Scoiattolo grigio,Scoiattolo grigio,Chordata_MAMMALIA_RODENTIA_Sciuridae,1
"Chordata_MAMMALIA_RODENTIA_Sciuridae_Scoiattolo grigio_Sciurus carolinensis Gmelin, 1788","Sciurus carolinensis Gmelin, 1788",Chordata_MAMMALIA_RODENTIA_Sciuridae_Scoiattolo grigio,1
Chordata_OSTEICHTHYES,OSTEICHTHYES,Chordata_,90
Chordata_OSTEICHTHYES_ACIPENSERIFORMES,ACIPENSERIFORMES,Chordata_OSTEICHTHYES,16
Chordata_OSTEICHTHYES_ACIPENSERIFORMES_Acipenseridae,Acipenseridae,Chordata_OSTEICHTHYES_ACIPENSERIFORMES,16
Chordata_OSTEICHTHYES_ACIPENSERIFORMES_Acipenseridae_Storione,Storione,Chordata_OSTEICHTHYES_ACIPENSERIFORMES_Acipenseridae,5
"Chordata_OSTEICHTHYES_ACIPENSERIFORMES_Acipenseridae_Storione_Acipenser sturio   * Linnaeus,1758","Acipenser sturio   * Linnaeus,1758",Chordata_OSTEICHTHYES_ACIPENSERIFORMES_Acipenseridae_Storione,5
Chordata_OSTEICHTHYES_ACIPENSERIFORMES_Acipenseridae_Storione bianco,Storione bianco,Chordata_OSTEICHTHYES_ACIPENSERIFORMES_Acipenseridae,2
"Chordata_OSTEICHTHYES_ACIPENSERIFORMES_Acipenseridae_Storione bianco_Acipenser transmontanus Richardson, 1836","Acipenser transmontanus Richardson, 1836",Chordata_OSTEICHTHYES_ACIPENSERIFORMES_Acipenseridae_Storione bianco,2
Chordata_OSTEICHTHYES_ACIPENSERIFORMES_Acipenseridae_Storione cobice,Storione cobice,Chordata_OSTEICHTHYES_ACIPENSERIFORMES_Acipenseridae,6
"Chordata_OSTEICHTHYES_ACIPENSERIFORMES_Acipenseridae_Storione cobice_Acipenser naccarii   * Bonaparte,1836","Acipenser naccarii   * Bonaparte,1836",Chordata_OSTEICHTHYES_ACIPENSERIFORMES_Acipenseridae_Storione cobice,6
Chordata_OSTEICHTHYES_ACIPENSERIFORMES_Acipenseridae_Storione ladano,Storione ladano,Chordata_OSTEICHTHYES_ACIPENSERIFORMES_Acipenseridae,3
